"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4192","Imbricaria_punctata",70.771628994544,72.4084177708496,68.6671862821512,74.8246297739673,70.9275136399065,74.2790335151988
"4193","Imbricaria_vanikoroensis",66.9318181818182,71.0227272727273,65.2272727272727,71.7045454545455,68.2954545454545,71.8181818181818
"4194","Indomitrella_conspersa",73.8831615120275,76.4032073310424,66.8957617411226,76.6323024054983,70.6758304696449,75.9450171821306
"4195","Indopacetus_pacificus",45.8105744171932,45.1072792831388,49.8018635536039,47.2707150762201,43.8149298489879,48.8700867516333
"4196","Indothais_lacera",57.5320512820513,68.1089743589744,63.6217948717949,68.75,65.5448717948718,67.1474358974359
"4197","Inegocia_japonica",57.7683615819209,68.7853107344633,63.9830508474576,68.9265536723164,66.1016949152542,66.6666666666667
"4198","Inermonephtys_inermis",68.1555004135649,72.2911497105046,66.0049627791563,72.2911497105046,68.3209263854425,70.6368899917287
"4199","Inferiolabiata_lowei",89.086859688196,85.7461024498886,73.4966592427617,82.8507795100223,81.7371937639198,86.1915367483296
"4200","Iniistius_baldwini",70.4419889502762,71.9613259668508,68.7845303867403,73.7569060773481,69.6132596685083,72.9281767955801
"4201","Iniistius_celebicus",77.9685264663805,75.8226037195994,70.6723891273247,78.3977110157368,72.5321888412017,78.9699570815451
"4202","Iniistius_melanopus",66.3405088062622,72.0156555772994,64.7749510763209,72.5048923679061,67.6125244618395,69.4716242661448
"4203","Iniistius_pavo",70.4335465529495,72.0682302771855,68.8699360341151,74.4136460554371,70.2203269367449,73.2054015636105
"4204","Iniistius_pentadactylus",71.0566615620214,72.5880551301685,68.989280245023,75.114854517611,70.9035222052067,74.3491577335375
